Date|Book|Security|Delta|TdyPnL|BODPnL|TdingPnL|DivPnL|LastPx|PrevCLS|Position|BODPos|Bought|BuyPx|Sold|SellPx|Multiplier|SecType|Curncy|YTDPnL|MTDPnL|WTDPnL
20190417|FTRUS|OPRX US|0|0|0|0|0|11.99|11.95|0|0|0|0|0|0|1|EQUITY|USD|531.914400000008|531.914400000008|531.914400000008
20190417|FTRUS|ORGO US|46911.6|-298.800000000004|-298.800000000004|0|0|7.85|7.9|5976|5976|0|0|0|0|1|EQUITY|USD|-2753.68000000003|-2753.68000000003|-2753.68000000003
20190417|FTRUS|OSIR US|0|0|0|0|0|18.99|18.99|0|0|0|0|0|0|1|EQUITY|USD|2.00000000000138|2.00000000000138|2.00000000000138
20190417|FTRUS|PANL US|611.78|-18.6199999999999|-7.62000000000001|-10.9999999999999|0|3.38|3.4|181|381|0|0|200|3.325|1|EQUITY|USD|-213.403099999999|-213.403099999999|-213.403099999999
20190417|FTRUS|PCMI US|53769.64|-3219.63|-3219.63|0|0|29.56|31.33|1819|1819|0|0|0|0|1|EQUITY|USD|-43393.605|-43393.605|-43393.605
20190417|FTRUS|PED US|2421|-168.5|-144|-24.5|0|2.69|2.75|900|2400|0|0|1500|2.67366666666667|1|EQUITY|USD|-1397.2045|-1397.2045|-1397.2045
20190417|FTRUS|PHAS US|144790.6968|-5893.3032|-5893.3032|0|0|13.9329|14.5|10392|10392|0|0|0|0|1|EQUITY|USD|-45989.804|-45989.804|-45989.804
20190417|FTRUS|PROV US|10015.25|489.849999999999|489.849999999999|0|0|20.65|19.64|485|485|0|0|0|0|1|EQUITY|USD|3910.29499999999|3910.29499999999|3910.29499999999
20190417|FTRUS|PTGX US|37863.345|-566.214999999998|-566.214999999998|0|0|10.365|10.52|3653|3653|0|0|0|0|1|EQUITY|USD|-10215.475|-10215.475|-10215.475
20190417|FTRUS|PXLW US|39102.96|-1640.08|-1640.08|0|0|4.53|4.72|8632|8632|0|0|0|0|1|EQUITY|USD|-10117.44|-10117.44|-10117.44
20190417|FTRUS|RBKB US|9277.65|-116.6|-119.6|3.00000000000011|0|11.67|11.75|795|1495|0|0|700|11.6742857142857|1|EQUITY|USD|-1774.01999999999|-1774.01999999999|-1774.01999999999
20190417|FTRUS|RFL US|40728.48|333.840000000003|333.840000000003|0|0|14.64|14.52|2782|2782|0|0|0|0|1|EQUITY|USD|8150.87000000003|8150.87000000003|8150.87000000003
20190417|FTRUS|ROAN US|47739.84|-4174.56|-4174.56|0|0|4.46|4.85|10704|10704|0|0|0|0|1|EQUITY|USD|-52309.2064|-52309.2064|-52309.2064
20190417|FTRUS|RUBI US|68726.25|1564.50000000001|1564.50000000001|0|0|6.15|6.01|11175|11175|0|0|0|0|1|EQUITY|USD|14367.9475|14367.9475|14367.9475
20190417|FTRUS|SCOR US|73438.425|-416.475000000006|-416.475000000006|0|0|13.225|13.3|5553|5553|0|0|0|0|1|EQUITY|USD|-7714.43500000006|-7714.43500000006|-7714.43500000006
20190417|FTRUS|SDI US|28835.1|0|0|0|0|17.91|17.91|1610|1610|0|0|0|0|1|EQUITY|USD|-65.606|-65.606|-65.606
20190417|FTRUS|SDRL US|122615.01|-2428.02|-2428.02|0|0|9.09|9.27|13489|13489|0|0|0|0|1|EQUITY|USD|-15023.34|-15023.34|-15023.34
20190417|FTRUS|SHSP US|41341.23|261.239999999994|261.239999999994|0|0|18.99|18.87|2177|2177|0|0|0|0|1|EQUITY|USD|6712.76279999993|6712.76279999993|6712.76279999993
20190417|FTRUS|SIC US|65584.71|618.470000000001|618.470000000001|0|0|12.195|12.08|5378|5378|0|0|0|0|1|EQUITY|USD|4325.22000000001|4325.22000000001|4325.22000000001
20190417|FTRUS|SNCR US|43477.72|608.080000000001|608.080000000001|0|0|5.72|5.64|7601|7601|0|0|0|0|1|EQUITY|USD|3232.80079999998|3232.80079999998|3232.80079999998
20190417|FTRUS|SRT US|26878.87|147.08|147.08|0|0|7.31|7.27|3677|3677|0|0|0|0|1|EQUITY|USD|-927.772299999999|-927.772299999999|-927.772299999999
